experiment_id,seed,hospital,aggregation_level,model_family,feature_setting,federated_strategy,latent_dimension,encoder_configuration,fedprox_mu,secure_aggregation,differential_privacy,privacy_epsilon,sample_count,positive_count,negative_count,tp,tn,fp,fn,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,brier_score,ece,shared_parameter_count,private_parameter_count,communication_per_round,total_communication
local_mlp,42,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,46,21,25,19,19,6,2,0.8260869565217391,0.76,0.9047619047619048,0.9047619047619048,0.76,0.8260869565217391,0.9504761904761905,0.950553063985174,0.10678373945022761,0.15454383259234225,4833,0,0,0
local_mlp,42,hospital_2,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,44,16,28,13,24,4,3,0.8409090909090909,0.7647058823529411,0.8125,0.8125,0.8571428571428571,0.7878787878787878,0.9107142857142858,0.8538532807205408,0.12659778469532726,0.11704272302714262,4833,0,0,0
local_mlp,42,hospital_3,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,19,18,1,11,1,0,7,0.631578947368421,1.0,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,0.6666666666666666,0.9789026860556789,0.24923698634011673,0.44702273293545375,4833,0,0,0
local_mlp,42,ALL,macro,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,43,44,10,12,0.7661916649330838,0.8415686274509803,0.7761243386243386,0.7761243386243386,0.8723809523809524,0.790862144685233,0.8426190476190477,0.9277696769204645,0.16087283682855721,0.2395364295183129,4833,0,0,0
local_mlp,42,ALL,sample_weighted,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,43,44,10,12,0.7981651376146789,0.8037344846195358,0.8163317314693462,0.8163317314693462,0.8148148148148148,0.7989033006432562,0.884954128440367,0.9164599663310065,0.1396133695574962,0.19038833062583158,4833,0,0,0
local_xgboost,42,hospital_1,hospital,XGBoost,homogeneous_25,Local,,None,0.0,False,False,,46,21,25,19,21,4,2,0.8695652173913043,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.84,0.8636363636363636,0.9390476190476189,0.933486873952809,0.1021393640173415,0.1093963209701621,0,0,0,0
local_xgboost,42,hospital_2,hospital,XGBoost,homogeneous_25,Local,,None,0.0,False,False,,44,16,28,14,21,7,2,0.7954545454545454,0.6666666666666666,0.875,0.875,0.75,0.7567567567567568,0.9174107142857143,0.8365322481449,0.12488302403356649,0.1549565255303274,0,0,0,0
local_xgboost,42,hospital_3,hospital,XGBoost,homogeneous_25,Local,,None,0.0,False,False,,19,18,1,17,0,1,1,0.8947368421052632,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.5833333333333334,0.9721363042892971,0.1263207136855371,0.2614479974696511,0,0,0,0
local_xgboost,42,ALL,macro,XGBoost,homogeneous_25,Sample_Weighted_Ensemble,,None,0.0,False,False,,109,55,54,50,42,12,5,0.853252201650371,0.8123993558776167,0.9080687830687829,0.9080687830687829,0.5299999999999999,0.854945854945855,0.8132638888888889,0.9140518087956687,0.11778103391214838,0.17526694799004686,0,0,0,0
local_xgboost,42,ALL,sample_weighted,XGBoost,homogeneous_25,Sample_Weighted_Ensemble,,None,0.0,False,False,,109,55,54,50,42,12,5,0.8440366972477065,0.7823649337410805,0.8996650648026795,0.8996650648026795,0.7777777777777778,0.8345781143946281,0.8683082131935341,0.9010862835018483,0.11553538864495265,0.15429201687968105,0,0,0,0
local_alexnet,42,hospital_1,hospital,1D_AlexNet,homogeneous_25,Local,,None,0.0,False,False,,46,21,25,18,22,3,3,0.8695652173913043,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.88,0.8571428571428571,0.9447619047619048,0.9401228026100055,0.10010712672906648,0.09945418207865693,120257,0,0,0
local_alexnet,42,hospital_2,hospital,1D_AlexNet,homogeneous_25,Local,,None,0.0,False,False,,44,16,28,12,23,5,4,0.7954545454545454,0.7058823529411765,0.75,0.75,0.8214285714285714,0.7272727272727273,0.875,0.7850769045172944,0.14374577273037537,0.13111455840143288,120257,0,0,0
local_alexnet,42,hospital_3,hospital,1D_AlexNet,homogeneous_25,Local,,None,0.0,False,False,,19,18,1,18,0,1,0,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.972972972972973,0.3888888888888889,0.9518851819548415,0.06675813941701585,0.09103840589523313,120257,0,0,0
local_alexnet,42,ALL,macro,1D_AlexNet,homogeneous_25,Local,,None,0.0,False,False,,109,55,54,48,45,9,7,0.8707960612994937,0.8367978770455551,0.8690476190476191,0.8690476190476191,0.5671428571428572,0.8524628524628524,0.7362169312169312,0.892361629694047,0.10353701295881923,0.10720238212510765,120257,0,0,0
local_alexnet,42,ALL,sample_weighted,1D_AlexNet,homogeneous_25,Local,,None,0.0,False,False,,109,55,54,48,45,9,7,0.8532110091743119,0.811810962917277,0.838794233289646,0.838794233289646,0.8333333333333334,0.8249087882115403,0.8197058395223533,0.8795857906051668,0.11190960072107226,0.11076754731459354,120257,0,0,0
local_resnet,42,hospital_1,hospital,1D_ResNet,homogeneous_25,Local,,None,0.0,False,False,,46,21,25,19,20,5,2,0.8478260869565217,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.8,0.8444444444444444,0.9333333333333333,0.9284841507500268,0.11451485807009115,0.09147183143574257,244065,0,0,0
local_resnet,42,hospital_2,hospital,1D_ResNet,homogeneous_25,Local,,None,0.0,False,False,,44,16,28,4,27,1,12,0.7045454545454546,0.8,0.25,0.25,0.9642857142857143,0.38095238095238093,0.8839285714285714,0.7696190673784289,0.17771972613213607,0.22869793799790467,244065,0,0,0
local_resnet,42,hospital_3,hospital,1D_ResNet,homogeneous_25,Local,,None,0.0,False,False,,19,18,1,18,0,1,0,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.972972972972973,0.05555555555555555,0.8738097851294446,0.06001809478622633,0.15082371548602455,244065,0,0,0
local_resnet,42,ALL,macro,1D_ResNet,homogeneous_25,Local,,None,0.0,False,False,,109,55,54,41,47,7,14,0.8332466541848693,0.8463450292397661,0.7182539682539683,0.7182539682539683,0.5880952380952381,0.7327899327899328,0.6242724867724868,0.8573043344193,0.11741755966281786,0.15699782830655726,244065,0,0,0
local_resnet,42,ALL,sample_weighted,1D_ResNet,homogeneous_25,Local,,None,0.0,False,False,,109,55,54,41,47,7,14,0.8073394495412844,0.82217125382263,0.6570554827435562,0.6570554827435562,0.8703703703703703,0.6797507861728045,0.7603829911169361,0.8548247322624912,0.13052931396308698,0.15721159735950851,244065,0,0,0
local_mlp,123,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,46,21,25,19,20,5,2,0.8478260869565217,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.8,0.8444444444444444,0.9466666666666667,0.9479044603841895,0.10220823753370019,0.1137272979578246,4833,0,0,0
local_mlp,123,hospital_2,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,Local,32.0,2_Layer_MLP,0.0,False,False,,44,16,28,12,25,3,4,0.8409090909090909,0.8,0.75,0.75,0.8928571428571429,0.7741935483870968,0.9107142857142857,0.8453491289848913,0.12024832836962669,0.11859474009410899,4833,0,0,0
