experiment_id,aggregation_level,metric,mean,std,ci_95,n_seeds
heterogeneous_encoder_1layer,hospital,accuracy,0.8567944895176017,0.05540214860552127,0.0361960704222739,9
heterogeneous_encoder_1layer,hospital,precision,0.829328631747082,0.09370598690441655,0.06122124477755214,9
heterogeneous_encoder_1layer,hospital,recall,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_encoder_1layer,hospital,sensitivity,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_encoder_1layer,hospital,specificity,0.5568253968253969,0.4190677078518128,0.2737909024631843,9
heterogeneous_encoder_1layer,hospital,f1,0.8398831800483735,0.11714526069376864,0.07653490365326218,9
heterogeneous_encoder_1layer,hospital,roc_auc,0.674157848324515,0.38192674044996483,0.24952547042731035,9
heterogeneous_encoder_1layer,hospital,pr_auc,0.8963807683299932,0.05785357181529796,0.037797666919328,9
heterogeneous_encoder_1layer,hospital,brier_score,0.10701088831259611,0.02814645844777023,0.018389019519209883,9
heterogeneous_encoder_1layer,hospital,ece,0.12339962295986344,0.03589799050287002,0.023453353795208413,9
heterogeneous_encoder_1layer,macro,accuracy,0.8567944895176017,0.010382560444722432,0.01174897317257059,3
heterogeneous_encoder_1layer,macro,precision,0.8293286317470819,0.015254471196016983,0.017262059180676963,3
heterogeneous_encoder_1layer,macro,recall,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_encoder_1layer,macro,sensitivity,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_encoder_1layer,macro,specificity,0.5568253968253969,0.00782943647945302,0.008859841427669943,3
heterogeneous_encoder_1layer,macro,f1,0.8398831800483736,0.030866921979364876,0.034929210399129315,3
heterogeneous_encoder_1layer,macro,roc_auc,0.6741578483245151,0.04982040532213663,0.05637709587078882,3
heterogeneous_encoder_1layer,macro,pr_auc,0.8963807683299931,0.018007493943775984,0.020377397692704455,3
heterogeneous_encoder_1layer,macro,brier_score,0.1070108883125961,0.007089597855661012,0.008022635211607674,3
heterogeneous_encoder_1layer,macro,ece,0.12339962295986344,0.027616587719221257,0.03125111093343096,3
heterogeneous_encoder_1layer,sample_weighted,accuracy,0.8440366972477064,0.01834862385321101,0.02076342252498471,3
heterogeneous_encoder_1layer,sample_weighted,precision,0.8022468027864682,0.019309832763070682,0.021851132801780408,3
heterogeneous_encoder_1layer,sample_weighted,recall,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_encoder_1layer,sample_weighted,sensitivity,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_encoder_1layer,sample_weighted,specificity,0.8209876543209876,0.010691671651659785,0.012098765432098821,3
heterogeneous_encoder_1layer,sample_weighted,f1,0.8139174671073631,0.04108559138932932,0.046492723406950744,3
heterogeneous_encoder_1layer,sample_weighted,roc_auc,0.7933964370661618,0.025762478576187183,0.02915298892426913,3
heterogeneous_encoder_1layer,sample_weighted,pr_auc,0.896620479236081,0.01094387380175499,0.012384159031424253,3
heterogeneous_encoder_1layer,sample_weighted,brier_score,0.11416526596269555,0.00760074360038097,0.008601051072893705,3
heterogeneous_encoder_1layer,sample_weighted,ece,0.1293788025104398,0.03085728688501316,0.03491830726346676,3
heterogeneous_encoder_2layer,hospital,accuracy,0.8567944895176017,0.05540214860552127,0.0361960704222739,9
heterogeneous_encoder_2layer,hospital,precision,0.829328631747082,0.09370598690441655,0.06122124477755214,9
heterogeneous_encoder_2layer,hospital,recall,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_encoder_2layer,hospital,sensitivity,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_encoder_2layer,hospital,specificity,0.5568253968253969,0.4190677078518128,0.2737909024631843,9
heterogeneous_encoder_2layer,hospital,f1,0.8398831800483735,0.11714526069376864,0.07653490365326218,9
heterogeneous_encoder_2layer,hospital,roc_auc,0.674157848324515,0.38192674044996483,0.24952547042731035,9
heterogeneous_encoder_2layer,hospital,pr_auc,0.8963807683299932,0.05785357181529796,0.037797666919328,9
heterogeneous_encoder_2layer,hospital,brier_score,0.10701088831259611,0.02814645844777023,0.018389019519209883,9
heterogeneous_encoder_2layer,hospital,ece,0.12339962295986344,0.03589799050287002,0.023453353795208413,9
heterogeneous_encoder_2layer,macro,accuracy,0.8567944895176017,0.010382560444722432,0.01174897317257059,3
heterogeneous_encoder_2layer,macro,precision,0.8293286317470819,0.015254471196016983,0.017262059180676963,3
heterogeneous_encoder_2layer,macro,recall,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_encoder_2layer,macro,sensitivity,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_encoder_2layer,macro,specificity,0.5568253968253969,0.00782943647945302,0.008859841427669943,3
heterogeneous_encoder_2layer,macro,f1,0.8398831800483736,0.030866921979364876,0.034929210399129315,3
heterogeneous_encoder_2layer,macro,roc_auc,0.6741578483245151,0.04982040532213663,0.05637709587078882,3
heterogeneous_encoder_2layer,macro,pr_auc,0.8963807683299931,0.018007493943775984,0.020377397692704455,3
heterogeneous_encoder_2layer,macro,brier_score,0.1070108883125961,0.007089597855661012,0.008022635211607674,3
heterogeneous_encoder_2layer,macro,ece,0.12339962295986344,0.027616587719221257,0.03125111093343096,3
heterogeneous_encoder_2layer,sample_weighted,accuracy,0.8440366972477064,0.01834862385321101,0.02076342252498471,3
heterogeneous_encoder_2layer,sample_weighted,precision,0.8022468027864682,0.019309832763070682,0.021851132801780408,3
heterogeneous_encoder_2layer,sample_weighted,recall,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_encoder_2layer,sample_weighted,sensitivity,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_encoder_2layer,sample_weighted,specificity,0.8209876543209876,0.010691671651659785,0.012098765432098821,3
heterogeneous_encoder_2layer,sample_weighted,f1,0.8139174671073631,0.04108559138932932,0.046492723406950744,3
heterogeneous_encoder_2layer,sample_weighted,roc_auc,0.7933964370661618,0.025762478576187183,0.02915298892426913,3
heterogeneous_encoder_2layer,sample_weighted,pr_auc,0.896620479236081,0.01094387380175499,0.012384159031424253,3
heterogeneous_encoder_2layer,sample_weighted,brier_score,0.11416526596269555,0.00760074360038097,0.008601051072893705,3
heterogeneous_encoder_2layer,sample_weighted,ece,0.1293788025104398,0.03085728688501316,0.03491830726346676,3
heterogeneous_fedadam_mlp,hospital,accuracy,0.8566846959295472,0.05562754679055208,0.03634333056982736,9
heterogeneous_fedadam_mlp,hospital,precision,0.8379317238966362,0.10317931865651206,0.06741048818892122,9
heterogeneous_fedadam_mlp,hospital,recall,0.8481040564373897,0.12404805347574233,0.08104472827081832,9
heterogeneous_fedadam_mlp,hospital,sensitivity,0.8481040564373897,0.12404805347574233,0.08104472827081832,9
heterogeneous_fedadam_mlp,hospital,specificity,0.5661904761904762,0.427564292814304,0.27934200463867864,9
heterogeneous_fedadam_mlp,hospital,f1,0.8406422544638663,0.10599043652457038,0.06924708519605265,9
heterogeneous_fedadam_mlp,hospital,roc_auc,0.6702766754850089,0.3742484053394426,0.2445089581551025,9
heterogeneous_fedadam_mlp,hospital,pr_auc,0.8859741676851723,0.06907363417574999,0.045128107661489995,9
heterogeneous_fedadam_mlp,hospital,brier_score,0.11629309372678381,0.03630610547341311,0.023719988909296566,9
heterogeneous_fedadam_mlp,hospital,ece,0.1244144078027719,0.040918008530139924,0.026733098906358083,9
heterogeneous_fedadam_mlp,macro,accuracy,0.8566846959295473,0.015970025633243307,0.018071785252703764,3
heterogeneous_fedadam_mlp,macro,precision,0.8379317238966362,0.023643143858139135,0.026754735923131927,3
heterogeneous_fedadam_mlp,macro,recall,0.8481040564373897,0.012414381151059181,0.014048194746797804,3
heterogeneous_fedadam_mlp,macro,sensitivity,0.8481040564373897,0.012414381151059181,0.014048194746797804,3
heterogeneous_fedadam_mlp,macro,specificity,0.5661904761904761,0.022782616597915573,0.02578095765827516,3
heterogeneous_fedadam_mlp,macro,f1,0.8406422544638663,0.015664449020455856,0.017725992762988023,3
heterogeneous_fedadam_mlp,macro,roc_auc,0.6702766754850088,0.045380489245662035,0.051352857856602194,3
heterogeneous_fedadam_mlp,macro,pr_auc,0.8859741676851723,0.016888376302741127,0.01911099686494404,3
heterogeneous_fedadam_mlp,macro,brier_score,0.11629309372678383,0.02271535923493884,0.02570484878730074,3
heterogeneous_fedadam_mlp,macro,ece,0.1244144078027719,0.016550657367463285,0.018728831913285574,3
heterogeneous_fedadam_mlp,sample_weighted,accuracy,0.8440366972477064,0.01834862385321101,0.02076342252498471,3
heterogeneous_fedadam_mlp,sample_weighted,precision,0.8133119004678638,0.029604842572015608,0.03350103310340862,3
heterogeneous_fedadam_mlp,sample_weighted,recall,0.8222173680889276,0.011438052106473556,0.01294337442684785,3
heterogeneous_fedadam_mlp,sample_weighted,sensitivity,0.8222173680889276,0.011438052106473556,0.01294337442684785,3
heterogeneous_fedadam_mlp,sample_weighted,specificity,0.8333333333333334,0.03207501495497923,0.03629629629629631,3
heterogeneous_fedadam_mlp,sample_weighted,f1,0.8148762936607353,0.020327918248527015,0.023003204982789485,3
heterogeneous_fedadam_mlp,sample_weighted,roc_auc,0.7864211688752972,0.019427641668532548,0.02198444612821184,3
heterogeneous_fedadam_mlp,sample_weighted,pr_auc,0.8814872856416319,0.0241657750167696,0.02734614875377141,3
heterogeneous_fedadam_mlp,sample_weighted,brier_score,0.12340285241365144,0.02276456979839243,0.025760535782132273,3
heterogeneous_fedadam_mlp,sample_weighted,ece,0.13386093932154108,0.016875502163998354,0.01909642840550534,3
heterogeneous_fedadam_secure_aggregation_dp,hospital,accuracy,0.8457342301735894,0.07239384932089134,0.04729731488964901,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,precision,0.7923631245870668,0.12654587355893113,0.08267663739183499,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,recall,0.9065255731922398,0.07257128848222656,0.04741324180838802,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,sensitivity,0.9065255731922398,0.07257128848222656,0.04741324180838802,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,specificity,0.5019047619047619,0.3828624733104405,0.25013681589615444,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,f1,0.8430564254093666,0.09769063237006331,0.0638245464817747,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,roc_auc,0.7283212081128747,0.29506828603042146,0.19277794687320868,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,pr_auc,0.902380741689954,0.07638734693218036,0.049906399995691166,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,brier_score,0.11399567051961396,0.042645317150064393,0.027861607204708736,9
heterogeneous_fedadam_secure_aggregation_dp,hospital,ece,0.1352481305261842,0.06398656387337139,0.04180455506393597,9
heterogeneous_fedadam_secure_aggregation_dp,macro,accuracy,0.8457342301735894,0.010424822064111524,0.011796796696938727,3
heterogeneous_fedadam_secure_aggregation_dp,macro,precision,0.7923631245870667,0.019954875020780482,0.022581066831190183,3
heterogeneous_fedadam_secure_aggregation_dp,macro,recall,0.9065255731922398,0.015929179371433698,0.018025563356211475,3
heterogeneous_fedadam_secure_aggregation_dp,macro,sensitivity,0.9065255731922398,0.015929179371433698,0.018025563356211475,3
heterogeneous_fedadam_secure_aggregation_dp,macro,specificity,0.501904761904762,0.023270079472134525,0.026332573828709672,3
heterogeneous_fedadam_secure_aggregation_dp,macro,f1,0.8430564254093666,0.01585261690239055,0.017938924766472183,3
heterogeneous_fedadam_secure_aggregation_dp,macro,roc_auc,0.7283212081128747,0.022137332725710137,0.025050750216324958,3
