Model,Macro Acc,Weighted Acc,Macro ROC-AUC,Weighted ROC-AUC,Macro F1,Macro Recall,Macro Spec
homogeneous_fedavg_alexnet,81.9 ± 0.0%,82.6 ± 0.0%,0.6755 ± 0.0000,0.7974 ± 0.0000,0.8407 ± 0.0000,88.7 ± 0.0%,51.2 ± 0.0%
homogeneous_fedavg_resnet,70.9 ± 0.0%,75.2 ± 0.0%,0.6785 ± 0.0000,0.7745 ± 0.0000,0.7438 ± 0.0000,73.7 ± 0.0%,51.2 ± 0.0%
